Name Lookup Time,	Connect Time,	App Connect Time,	Pre-Transfer Time,	Redirect Time,	Start Transfer Time,	Total Time,	Download Size,	Download Speed
    0.002, 0.002, 0.484, 0.484, 0.000, 0.633, 1.632, 1563148, 957987.000
    0.002, 0.002, 0.283, 0.283, 0.000, 0.425, 1.403, 1563148, 1113797.000
    0.002, 0.002, 0.357, 0.358, 0.000, 0.499, 1.535, 1563148, 1018643.000
    0.002, 0.002, 0.311, 0.311, 0.000, 0.471, 1.448, 1563148, 1079746.000
    0.001, 0.001, 0.341, 0.341, 0.000, 1.552, 2.984, 1563148, 523806.000
    0.001, 0.002, 0.293, 0.293, 0.000, 0.439, 1.945, 1563148, 803527.000
    0.001, 0.002, 0.279, 0.279, 0.000, 0.429, 1.455, 1563148, 1074152.000
    0.002, 0.002, 0.280, 0.280, 0.000, 0.429, 1.405, 1563148, 1112316.000
    0.001, 0.002, 0.285, 0.285, 0.000, 0.426, 1.411, 1563148, 1108211.000
    0.002, 0.002, 0.284, 0.284, 0.000, 0.427, 1.403, 1563148, 1113999.000
    
0.001, 0.002, 0.288, 0.288, 0.000, 0.441, 1.489, 1563148, 1049562.000
    0.001, 0.002, 0.281, 0.281, 0.000, 0.429, 1.430, 1563148, 1093115.000
    0.001, 0.002, 0.282, 0.282, 0.000, 0.443, 1.504, 1563148, 1039124.000
    0.002, 0.002, 0.282, 0.282, 0.000, 0.424, 1.408, 1563148, 1110448.000
    0.001, 0.002, 0.282, 0.282, 0.000, 0.426, 1.534, 1563148, 1019239.000
    0.001, 0.002, 0.282, 0.282, 0.000, 0.428, 1.425, 1563148, 1096962.000
    0.002, 0.002, 0.433, 0.433, 0.000, 0.580, 1.577, 1563148, 991056.000
    0.002, 0.002, 0.283, 0.283, 0.000, 0.433, 1.479, 1563148, 1057110.000
    0.001, 0.002, 0.281, 0.281, 0.000, 1.928, 2.999, 1563148, 521176.000
    0.002, 0.002, 0.533, 0.533, 0.000, 0.684, 1.782, 1563148, 877386.000
    0.002, 0.002, 0.503, 0.503, 0.000, 0.657, 1.710, 1563148, 914090.000
    0.001, 0.002, 0.327, 0.327, 0.000, 0.473, 1.476, 1563148, 1059315.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.449, 1.424, 1563148, 1097990.000
    0.002, 0.002, 0.339, 0.339, 0.000, 0.491, 1.553, 1563148, 1006559.000
    0.002, 0.002, 0.280, 0.280, 0.000, 0.437, 1.493, 1563148, 1046835.000
    0.002, 0.002, 0.343, 0.343, 0.000, 0.490, 1.525, 1563148, 1025058.000
    0.002, 0.002, 0.569, 0.569, 0.000, 0.768, 1.738, 1563148, 899146.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.425, 1.482, 1563148, 1055108.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.504, 1.505, 1563148, 1038831.000
    0.001, 0.001, 0.282, 0.282, 0.000, 0.423, 1.540, 1563148, 1014975.000
    0.001, 0.001, 0.283, 0.283, 0.000, 2.036, 3.176, 1563148, 492247.000
    0.002, 0.002, 0.471, 0.471, 0.000, 0.680, 1.667, 1563148, 937942.000
    0.001, 0.002, 0.287, 0.287, 0.000, 0.486, 1.529, 1563148, 1022334.000
    0.002, 0.002, 0.288, 0.288, 0.000, 0.461, 1.520, 1563148, 1028206.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.453, 1.440, 1563148, 1085553.000
    0.001, 0.001, 0.280, 0.280, 0.000, 0.449, 1.480, 1563148, 1055841.000
    0.001, 0.001, 0.282, 0.283, 0.000, 0.444, 1.495, 1563148, 1045650.000
    0.001, 0.001, 0.283, 0.283, 0.000, 0.432, 1.460, 1563148, 1071001.000
    0.001, 0.001, 0.285, 0.285, 0.000, 0.454, 1.438, 1563148, 1087042.000
    0.002, 0.002, 0.283, 0.283, 0.000, 0.431, 1.486, 1563148, 1051709.000
    0.001, 0.001, 0.285, 0.285, 0.000, 0.423, 1.412, 1563148, 1106861.000
    0.001, 0.001, 0.286, 0.287, 0.000, 0.434, 1.455, 1563148, 1074304.000
    0.002, 0.002, 0.288, 0.288, 0.000, 1.656, 2.737, 1563148, 571190.000
    0.002, 0.002, 0.288, 0.288, 0.000, 0.423, 1.435, 1563148, 1089632.000
    0.002, 0.002, 0.291, 0.291, 0.000, 0.433, 1.445, 1563148, 1082116.000
    0.002, 0.002, 0.285, 0.285, 0.000, 0.424, 1.449, 1563148, 1078717.000
    0.001, 0.001, 0.523, 0.523, 0.000, 0.668, 1.649, 1563148, 947670.000
    0.001, 0.002, 0.286, 0.286, 0.000, 0.441, 1.462, 1563148, 1069455.000
    0.001, 0.002, 0.282, 0.282, 0.000, 0.437, 1.434, 1563148, 1090373.000
    0.002, 0.002, 0.281, 0.281, 0.000, 0.441, 1.501, 1563148, 1041163.000
    0.001, 0.002, 0.284, 0.284, 0.000, 0.424, 1.438, 1563148, 1087379.000
    0.001, 0.002, 0.281, 0.281, 0.000, 0.454, 1.446, 1563148, 1080813.000
    0.002, 0.002, 0.289, 0.290, 0.000, 0.469, 1.468, 1563148, 1064708.000
    0.002, 0.002, 0.283, 0.283, 0.000, 0.440, 1.432, 1563148, 1091829.000
    0.001, 0.002, 0.289, 0.289, 0.000, 1.550, 2.627, 1563148, 595084.000
    0.001, 0.002, 0.288, 0.288, 0.000, 0.429, 1.403, 1563148, 1113799.000
    0.001, 0.002, 0.282, 0.282, 0.000, 0.470, 1.392, 1563148, 1122805.000
    0.002, 0.002, 0.583, 0.583, 0.000, 0.724, 1.699, 1563148, 919950.000
    0.001, 0.002, 0.338, 0.338, 0.000, 0.477, 1.482, 1563148, 1054453.000
    0.001, 0.002, 0.285, 0.286, 0.000, 0.439, 1.453, 1563148, 1075988.000
    